_id,tipo_identificacion,numero_identificacion,nombres,apellidos,telefono,correo,rol,empresa.nit,empresa.nombre,empresa.pais,empresa.ciudad,empresa.direccion,empresa.telefono,empresa.correo,empresa.cantidad_buques,pais,ciudad,imagen,is_enabled,account_No_Expired,account_No_Locked,credential_No_Expired,_class,password,inspecciones[0].fecha,inspecciones[1].fecha,inspecciones[2].fecha,inspecciones[0].resultado,inspecciones[1].resultado,inspecciones[2].resultado,inspecciones[0].observaciones,inspecciones[1].observaciones,inspecciones[2].observaciones
6816ad9504ea5839aa7ea90a,CE,51633824957,Connor,Liu,375.229.6624x5217,reedsheena@example.net,AGENTE_NAVIERO,596959868-4,Hernández and Sons,Colombia,Cartagena,"Avenida carrera 129 # 1S-8, Casa 2, 415834, Paicol, Huila",302 368 61 17,garciavictor@caicedo-camargo.com,5,Trinidad y Tobago,San Fernando,perfil-usuario.jpg,true,true,true,true,com.app.collections.Usuario.Usuario,$2a$10$rj3PmRqB76o2VrobVRdCf.s2Q4S3HDnvVHeAmi8Uxdp.GWrLoqiMq,,,,,,,,,
6816ad9504ea5839aa7ea90b,CE,90451320088,Daniel,Turner,(478)304-9313x825,david68@example.net,AGENTE_NAVIERO,596959868-4,Hernández and Sons,Colombia,Cartagena,"Avenida carrera 129 # 1S-8, Casa 2, 415834, Paicol, Huila",302 368 61 17,garciavictor@caicedo-camargo.com,5,Trinidad y Tobago,San Fernando,perfil-usuario.jpg,true,true,true,true,com.app.collections.Usuario.Usuario,$2a$10$rj3PmRqB76o2VrobVRdCf.s2Q4S3HDnvVHeAmi8Uxdp.GWrLoqiMq,,,,,,,,,
6816ad9504ea5839aa7ea90c,CE,93155976466,Troy,Kelly,(864)881-4875,justin25@example.net,AGENTE_NAVIERO,596959868-4,Hernández and Sons,Colombia,Cartagena,"Avenida carrera 129 # 1S-8, Casa 2, 415834, Paicol, Huila",302 368 61 17,garciavictor@caicedo-camargo.com,5,Trinidad y Tobago,San Fernando,perfil-usuario.jpg,true,true,true,true,com.app.collections.Usuario.Usuario,$2a$10$rj3PmRqB76o2VrobVRdCf.s2Q4S3HDnvVHeAmi8Uxdp.GWrLoqiMq,,,,,,,,,
6816ad9504ea5839aa7ea90d,TI,24901965521,Claudia,Romero,001-866-791-8356,brucesutton@example.org,AGENTE_NAVIERO,596959868-4,Hernández and Sons,Colombia,Cartagena,"Avenida carrera 129 # 1S-8, Casa 2, 415834, Paicol, Huila",302 368 61 17,garciavictor@caicedo-camargo.com,5,Trinidad y Tobago,San Fernando,perfil-usuario.jpg,true,true,true,true,com.app.collections.Usuario.Usuario,$2a$10$rj3PmRqB76o2VrobVRdCf.s2Q4S3HDnvVHeAmi8Uxdp.GWrLoqiMq,,,,,,,,,
6816ad9504ea5839aa7ea90e,CC,56770378318,Tammie,Hunter,(252)625-2217,shannon84@example.com,AGENTE_NAVIERO,596959868-4,Hernández and Sons,Colombia,Cartagena,"Avenida carrera 129 # 1S-8, Casa 2, 415834, Paicol, Huila",302 368 61 17,garciavictor@caicedo-camargo.com,5,Trinidad y Tobago,San Fernando,perfil-usuario.jpg,true,true,true,true,com.app.collections.Usuario.Usuario,$2a$10$rj3PmRqB76o2VrobVRdCf.s2Q4S3HDnvVHeAmi8Uxdp.GWrLoqiMq,,,,,,,,,
6816ad9504ea5839aa7ea90f,TI,6240818731,Monica,Turner,(406)896-8813x1610,jennifer74@example.com,AGENTE_NAVIERO,596959868-4,Hernández and Sons,Colombia,Cartagena,"Avenida carrera 129 # 1S-8, Casa 2, 415834, Paicol, Huila",302 368 61 17,garciavictor@caicedo-camargo.com,5,Trinidad y Tobago,San Fernando,perfil-usuario.jpg,true,true,true,true,com.app.collections.Usuario.Usuario,$2a$10$rj3PmRqB76o2VrobVRdCf.s2Q4S3HDnvVHeAmi8Uxdp.GWrLoqiMq,,,,,,,,,
6816ad9504ea5839aa7ea910,CC,59196809659,Justin,Phillips,881-843-1820x55899,darinsmith@example.net,AGENTE_NAVIERO,596959868-4,Hernández and Sons,Colombia,Cartagena,"Avenida carrera 129 # 1S-8, Casa 2, 415834, Paicol, Huila",302 368 61 17,garciavictor@caicedo-camargo.com,5,Trinidad y Tobago,San Fernando,perfil-usuario.jpg,true,true,true,true,com.app.collections.Usuario.Usuario,$2a$10$rj3PmRqB76o2VrobVRdCf.s2Q4S3HDnvVHeAmi8Uxdp.GWrLoqiMq,,,,,,,,,
6816ad9504ea5839aa7ea911,CC,60028328881,Jennifer,Scott,847-654-0864x5858,theresa23@example.net,AGENTE_NAVIERO,596959868-4,Hernández and Sons,Colombia,Cartagena,"Avenida carrera 129 # 1S-8, Casa 2, 415834, Paicol, Huila",302 368 61 17,garciavictor@caicedo-camargo.com,5,Trinidad y Tobago,San Fernando,perfil-usuario.jpg,true,true,true,true,com.app.collections.Usuario.Usuario,$2a$10$rj3PmRqB76o2VrobVRdCf.s2Q4S3HDnvVHeAmi8Uxdp.GWrLoqiMq,,,,,,,,,
6816ad9504ea5839aa7ea912,TI,28955904667,Amy,Castro,+1-267-686-5055,wgarcia@example.net,AGENTE_NAVIERO,596959868-4,Hernández and Sons,Colombia,Cartagena,"Avenida carrera 129 # 1S-8, Casa 2, 415834, Paicol, Huila",302 368 61 17,garciavictor@caicedo-camargo.com,5,Trinidad y Tobago,San Fernando,perfil-usuario.jpg,true,true,true,true,com.app.collections.Usuario.Usuario,$2a$10$rj3PmRqB76o2VrobVRdCf.s2Q4S3HDnvVHeAmi8Uxdp.GWrLoqiMq,,,,,,,,,
6816ad9504ea5839aa7ea913,CC,57441134152,Jeff,Gonzalez,(358)704-1285x8696,qmiller@example.org,AGENTE_NAVIERO,596959868-4,Hernández and Sons,Colombia,Cartagena,"Avenida carrera 129 # 1S-8, Casa 2, 415834, Paicol, Huila",302 368 61 17,garciavictor@caicedo-camargo.com,5,Trinidad y Tobago,San Fernando,perfil-usuario.jpg,true,true,true,true,com.app.collections.Usuario.Usuario,$2a$10$rj3PmRqB76o2VrobVRdCf.s2Q4S3HDnvVHeAmi8Uxdp.GWrLoqiMq,,,,,,,,,
